"disasterNumber","totalNumberIaApproved","totalAmountIhpApproved","totalAmountHaApproved","totalAmountOnaApproved","totalObligatedAmountPa","totalObligatedAmountCatAb","totalObligatedAmountCatC2g","paLoadDate","iaLoadDate","totalObligatedAmountHmgp","hash","lastRefresh","id"
1445,199,509173.67,461070.95,48102.72,8721045.16,441657.36,8028649.4,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",1695298,"ccfa3fde47e8fc2d193270122fa6e73a26c2a0b7","2023-11-06T07:03:37.858Z","2d9fb477-fc79-4f38-902b-661cca73187f"
1446,20699,125463060.64,43407641.42,82055419.22,56986504.09,12598628,42212978.84,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",31049019,"5cd7ad87f16c924d45031df8c7480665106b3d95","2023-11-06T07:03:37.858Z","4d8a0981-cb31-4ab8-a30c-2b31758a9e23"
1447,559,3682703.79,1438319.22,2244384.57,5149451.95,1032707.62,3847738.96,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",1027046,"376e40ea9f8f8f5c98e546419452e67229943df8","2023-11-06T07:03:37.858Z","85871b8e-8082-41d4-acd4-a574d78c4838"
1453,1559,2609145.45,1614171.25,994974.2,31856038.61,13005035.17,18927692.15,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",2108337,"ce2c35a0f5b8353fcad4815a0a991fa7fb7bdff0","2023-11-06T07:03:37.858Z","276c90c6-0b4e-4ffb-9839-7679c201fb06"
1454,3451,9369739.03,6856715.41,2513023.62,36424884.27,17183377.43,19144277.15,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",2388516,"51604d7315a50e5a98cc6d4c9d098a711b2d940b","2023-11-06T07:03:37.858Z","23e4fcb4-2dd8-49f2-b133-236dc31feeac"
1455,2200,5431111.2,4371300.36,1059810.84,9335774.41,4245056.75,5200730.17,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",813465,"0bdf76053e9fd94abe194af83ac3df21469134fd","2023-11-06T07:03:37.858Z","722622f9-ed90-4195-a1ad-3275c92e036f"
1458,849,2242480.28,1213932.96,1028547.32,13709082.34,9032940.4,4639768.12,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",750602,"91f8869703b1f9b5b8c81706fac7a951bc26562e","2023-11-06T07:03:37.858Z","8ddd276e-8679-4889-a882-f38d2aba9d5e"
1477,NA,NA,NA,NA,5363459.27,1662748.86,3641438.96,"2023-11-06T00:00:00.000Z",NA,374643,"aaa4d3bd42961e07e8db9264ea545c30ae9546ba","2023-11-06T04:42:49.773Z","71f283c2-2855-4556-820e-301302a1f33c"
1459,9408,18270709.28,7651000.29,10619708.99,5991973.09,559485.46,5471976.93,"2023-11-06T00:00:00.000Z","2023-11-06T00:00:00.000Z",815503,"72cf96d5385a079b16a1cf4cb4fe378e2e63b63c","2023-11-06T07:03:37.858Z","96e8dc55-73ff-4e46-9390-a1bf5227d5f0"
1460,6659,14538920.62,3835447.42,10703473.2,NA,NA,NA,NA,"2023-11-06T00:00:00.000Z",423565,"bde9ef2f04b4f314eadfee6a5490e78391c29964","2023-11-06T07:03:37.858Z","03c79fd5-9ee0-401a-b173-fe81dd5ccfae"
